BILL_1,BILL_2,BILL_3,BILL_4,BILL_5,BILL_6,AGE,SEX,EDUCATION,MARRIAGE,RISK
584,3291,8660,7495,1120,62,38,Male,Graduate School,Single,HIGH
0,0,0,0,0,0,30,Male,University,Single,HIGH
8166,8783,9417,10002,9804,9626,42,Female,University,Married,HIGH
85339,84393,86793,84406,73976,75497,41,Female,University,Married,HIGH
50523,46054,46191,45564,45840,47077,34,Female,University,Married,HIGH
60170,48000,50192,50451,49086,34161,34,Female,High School,Single,HIGH
90375,81572,71451,68530,66844,65820,30,Female,Graduate School,Single,HIGH
48597,49259,46209,46574,47230,48282,24,Female,Graduate School,Single,LOW
17562,17709,15631,13402,13197,11624,29,Male,Graduate School,Single,HIGH
30347,28517,29709,29833,29306,29348,25,Female,University,Married,HIGH
85965,88586,94412,92195,92491,94369,32,Female,University,Single,HIGH
168182,163177,149406,136292,128344,120582,35,Male,Graduate School,Single,HIGH
110185,107665,104686,102549,101400,0,54,Female,High School,Married,HIGH
7170,8240,8050,10400,0,0,46,Male,High School,Married,HIGH
83853,87227,96253,93562,96510,63417,36,Female,University,Married,HIGH
736,736,736,736,736,316,30,Male,University,Married,HIGH
20625,21386,0,522,0,0,31,Female,University,Single,HIGH
25809,14888,20803,18395,18386,18420,38,Male,University,Married,HIGH
-200,-200,0,2115,0,0,29,Female,Graduate School,Single,LOW
148363,148432,151310,141937,144990,147911,42,Male,University,Married,HIGH
16935,17855,17280,18594,18806,19045,34,Female,University,Single,HIGH
8304,11526,1270,0,1121,500,35,Female,Graduate School,Single,LOW
94453,95860,67782,-2618,95748,101299,29,Male,University,Married,HIGH
17421,18769,17413,17769,18138,13788,34,Male,University,Married,HIGH
780,780,780,390,390,780,41,Female,High School,Married,LOW
21849,9318,7964,10335,12000,13463,34,Female,Graduate School,Single,HIGH
0,0,0,0,300,150,34,Female,Graduate School,Single,HIGH
330,330,330,330,330,947,37,Female,University,Married,HIGH
141346,145483,146410,142858,146007,130721,32,Male,University,Married,HIGH
18256,19556,18136,24018,21490,18196,46,Female,University,Married,HIGH
181679,187642,190152,186696,188632,190948,31,Female,Graduate School,Single,HIGH
-220,38929,339176,33146,37337,33777,49,Male,Graduate School,Married,HIGH
389,778,389,389,389,775,66,Male,University,Married,LOW
33197,34961,28913,29093,29306,29506,56,Female,High School,Married,HIGH
0,0,0,0,0,0,52,Female,Graduate School,Single,HIGH
29596,29625,29523,29494,29464,29891,47,Male,University,Single,HIGH
53916,55036,56075,54515,52250,52433,34,Male,University,Single,LOW
16736,17834,20025,28806,14463,18668,36,Male,Graduate School,Married,HIGH
52547,53829,53841,54486,55198,55878,49,Female,University,Others,HIGH
61708,65080,68835,41462,36589,39985,39,Male,Graduate School,Married,HIGH
23037,22260,0,0,0,0,48,Male,Graduate School,Single,LOW
8100,14270,7324,2846,3027,5946,43,Male,Graduate School,Married,HIGH
160388,175167,127848,96066,93974,40170,30,Male,High School,Single,HIGH
11391,16180,16635,16082,15529,16525,33,Female,Graduate School,Single,HIGH
33944,29194,27862,21229,20178,19275,27,Female,University,Single,HIGH
1854,1346,3195,1932,7363,1546,37,Female,University,Married,HIGH
390,390,390,390,980,590,30,Female,Graduate School,Single,HIGH
255527,256675,253682,260274,153516,156830,42,Female,University,Married,HIGH
0,70,24329,780,0,1615,44,Female,Graduate School,Married,HIGH
12178,22344,65330,20333,8433,10332,27,Female,Others,Single,HIGH
21494,25600,0,0,36565,37353,36,Female,University,Married,HIGH
390,390,390,390,1240,4234,42,Female,University,Married,HIGH
2348,329,-1404,3596,8596,8941,40,Female,University,Single,HIGH
46311,47579,47897,28263,8548,8906,36,Female,High School,Married,HIGH
8574,9434,10038,10040,10400,10490,28,Female,Graduate School,Married,LOW
23518,25542,27649,29718,30171,30678,28,Female,Graduate School,Single,HIGH
29334,28198,29497,28268,30817,17219,45,Female,High School,Married,HIGH
30643,31209,25977,30776,920,0,42,Female,High School,Single,HIGH
41696,41768,42561,42871,7606,11267,55,Female,University,Married,LOW
3071,5630,9040,1288,1419,2385,40,Male,University,Married,HIGH
31197,24486,24777,24521,16773,16524,41,Male,University,Others,HIGH
20852,18376,15229,18229,9290,1826,31,Female,University,Single,HIGH
33800,0,0,0,1972,0,44,Female,University,Married,HIGH
264,264,1191,3691,3445,56264,37,Female,Graduate School,Married,LOW
13159,39243,41831,45893,10186,4887,28,Female,Graduate School,Single,HIGH
12193,11242,8015,3668,3508,5278,38,Female,High School,Single,HIGH
819,699,0,0,0,0,32,Female,University,Married,LOW
84372,77773,78499,79943,77354,78655,38,Female,University,Married,HIGH
17676,18833,19002,18982,13762,0,22,Male,University,Single,LOW
42932,42010,46007,47978,49100,50181,33,Female,University,Married,LOW
81328,82150,0,0,0,0,45,Female,University,Married,HIGH
133899,137171,139414,97268,99960,86728,46,Male,University,Married,LOW
7431,9895,9937,9629,10571,10749,57,Male,High School,Married,LOW
520,2047,1155,3582,580,1398,29,Male,Graduate School,Single,HIGH
32236,41510,-1523,-1523,-1523,48477,32,Male,Graduate School,Single,HIGH
21854,17376,18796,117846,118877,121476,33,Female,University,Single,HIGH
252916,251830,245429,186620,193003,191867,53,Female,Graduate School,Married,HIGH
19769,34813,43852,29677,33341,28413,40,Female,Graduate School,Married,HIGH
89240,87970,82837,73297,73084,68697,24,Female,University,Single,HIGH
19152,19934,21693,25492,29876,416,33,Male,University,Single,HIGH
114740,113994,113989,115225,116511,112823,42,Female,University,Married,HIGH
0,0,0,0,0,0,33,Female,Graduate School,Single,HIGH
14655,12731,13225,16952,11920,0,42,Male,High School,Married,HIGH
20655,21718,22316,22762,20231,19445,23,Male,Graduate School,Single,HIGH
2947,4132,3967,592,864,1738,39,Female,University,Married,HIGH
259874,236662,220421,224801,229520,234145,66,Female,Graduate School,Married,LOW
53256,53695,55426,56544,57048,58421,40,Male,High School,Others,LOW
490,-10,4910,0,0,1000,37,Male,University,Married,HIGH
79761,79515,80592,86216,88071,90842,57,Female,University,Others,HIGH
30832,17896,17258,18981,19496,18594,40,Male,Graduate School,Married,HIGH
15655,3918,29881,24247,21664,1556,46,Female,Graduate School,Single,LOW
850,0,0,31106,0,1505,49,Female,Graduate School,Married,LOW
-11,3919,-23,-23,7859,-2,26,Female,Graduate School,Single,HIGH
1431,3914,-15,3041,21801,3837,30,Male,University,Married,HIGH
13929,2837,5892,2267,11679,0,46,Female,High School,Single,HIGH
40483,42538,44561,45450,46715,47642,41,Female,University,Married,HIGH
13917,16695,21320,18614,19003,19439,47,Male,University,Married,HIGH
400,20123,20590,20029,17198,5177,37,Female,Graduate School,Married,HIGH
56573,26953,28190,-18,-18,-18,32,Male,University,Married,HIGH
54809,55944,57075,57745,59099,60489,38,Male,University,Single,HIGH
47987,49084,46759,8195,8367,8534,25,Male,University,Single,LOW
15164,16607,17032,17448,18507,19046,24,Female,University,Single,LOW
26509,27521,30001,29187,31064,30487,25,Female,University,Single,HIGH
27119,28081,30299,29516,31378,31914,59,Male,Graduate School,Married,HIGH
6234,7402,8270,9287,10076,10612,25,Female,University,Single,HIGH
207627,212821,214885,219204,223899,228279,52,Female,High School,Married,HIGH
4356,12345,2663,867,3060,858,29,Female,Graduate School,Single,HIGH
89055,90780,70947,72367,73875,75355,29,Female,University,Single,HIGH
107,107,1741,107,107,0,45,Female,University,Married,HIGH
77126,59832,45054,39245,75742,39389,34,Female,University,Married,HIGH
28224,29276,28635,30127,30525,29793,23,Male,University,Married,LOW
55645,56656,60185,59218,58963,58992,41,Female,Graduate School,Single,HIGH
52607,53548,56214,57246,58443,59883,53,Female,Graduate School,Married,HIGH
1680,1535,1836,2274,0,21166,32,Female,University,Married,HIGH
13943,8943,1662,2553,1977,3175,34,Female,Others,Single,HIGH
32016,29052,23115,20354,7438,4887,41,Female,University,Single,LOW
186004,169351,163576,115854,111606,120885,48,Male,University,Married,HIGH
5331,6020,1194,694,1800,186,30,Female,University,Married,HIGH
79867,79593,29340,28026,28605,28705,44,Female,University,Married,HIGH
150693,154424,148564,105858,105075,107358,30,Male,University,Married,HIGH
3391,3227,1129,2034,2140,6731,52,Female,Graduate School,Married,LOW
-1312,35918,37297,37154,32581,33316,39,Female,University,Married,LOW
10700,890,0,0,0,0,36,Female,Graduate School,Single,HIGH
219198,114930,100749,74457,68604,53333,41,Female,Graduate School,Married,HIGH
139001,141453,132415,130305,79775,74462,38,Female,University,Single,HIGH
7852,8871,9883,10079,10289,10495,26,Female,Graduate School,Single,LOW
5420,3978,3723,0,0,0,28,Female,University,Single,HIGH
3213,2797,0,1660,660,660,38,Female,University,Others,HIGH
4214,6378,4074,116446,9335,3312,49,Male,University,Married,HIGH
16569,22372,25285,24669,20899,11968,31,Female,University,Single,HIGH
74156,73878,64656,60537,42610,42769,61,Female,University,Married,HIGH
11285,14096,12108,12211,11793,3719,28,Female,High School,Married,HIGH
-3,-3,2486,2500,580,490,37,Female,High School,Single,HIGH
203647,185853,178531,170915,162864,155297,34,Male,Graduate School,Single,HIGH
0,0,150,1528,3028,4117,40,Female,Others,Single,HIGH
96604,94153,102623,100090,101511,103503,30,Female,University,Single,LOW
2068,6000,6457,6177,0,0,23,Male,University,Single,HIGH
51133,60247,63615,71839,75506,78647,35,Female,Graduate School,Married,HIGH
109474,110723,111125,106828,84729,82910,28,Female,Graduate School,Married,HIGH
3299,6930,2375,1211,6661,517,28,Female,Graduate School,Single,HIGH
112933,114564,118713,121248,123232,126242,32,Female,Graduate School,Single,HIGH
3601,-876,6440,2802,1290,4547,31,Female,University,Married,LOW
7070,3087,5210,3882,4785,1000,37,Female,High School,Others,HIGH
86229,134760,132615,131213,129293,128379,56,Male,Others,Married,HIGH
46554,50774,49551,22673,17147,17505,60,Female,High School,Single,LOW
86057,89605,87780,1680,1920,9151,38,Male,Graduate School,Single,HIGH
190790,167666,145132,148054,146358,145253,66,Male,University,Married,HIGH
390,390,390,21515,2942,0,57,Male,High School,Married,LOW
62198,35674,34979,510,2166,765,31,Male,University,Single,HIGH
470317,469673,450172,371819,390178,383822,37,Male,Graduate School,Married,HIGH
141571,138588,142343,69004,70596,69388,33,Male,University,Married,LOW
30834,33011,33434,34935,36344,37803,34,Female,University,Married,HIGH
0,-2008,-4016,4016,2008,8299,50,Male,Graduate School,Married,LOW
34253,34954,36093,36891,37019,40734,33,Female,University,Single,HIGH
1473,390,390,390,390,0,44,Female,University,Married,HIGH
4952,6607,8544,15351,5839,9192,36,Female,University,Married,HIGH
19990,20038,19571,14362,15127,15872,23,Female,Graduate School,Single,HIGH
381530,385605,257188,145505,142529,229320,31,Female,University,Single,HIGH
14028,16484,15800,16341,16675,0,22,Female,Graduate School,Single,LOW
92626,90727,93345,93812,95613,95972,30,Female,University,Single,HIGH
0,0,0,0,0,0,48,Female,Others,Married,HIGH
72622,6920,7700,9700,11700,0,29,Female,Graduate School,Married,HIGH
15717,16724,18051,18759,19132,19684,46,Female,University,Single,HIGH
78129,28202,78553,49340,48919,48443,42,Male,University,Single,HIGH
139406,140295,134000,74388,92555,86993,54,Male,Graduate School,Married,LOW
13406,7233,96977,67030,24334,28699,60,Female,Graduate School,Married,HIGH
104307,101788,110000,115000,120000,127640,27,Female,High School,Married,HIGH
0,0,0,0,0,0,30,Female,Graduate School,Single,LOW
58794,59987,33908,19513,17281,16802,48,Female,University,Married,HIGH
2629,1076,1613,993,7881,1516,30,Male,University,Single,HIGH
56256,57685,58156,61103,59358,60060,42,Male,University,Married,HIGH
75405,75681,72263,50312,49878,50101,26,Female,University,Married,HIGH
2902,6888,7638,7388,6991,33327,25,Male,Graduate School,Single,LOW
45028,46276,47527,48735,49925,50967,26,Female,University,Single,HIGH
23593,24787,9145,12423,41956,45112,55,Female,High School,Married,HIGH
8792,7500,0,0,0,0,34,Female,University,Single,HIGH
654,608,654,5954,0,1308,43,Male,University,Single,LOW
188,2791,188,376,188,6884,28,Female,High School,Married,LOW
1050,1050,1050,1050,1050,1050,29,Male,High School,Single,LOW
85378,71870,72994,57382,58522,59748,48,Female,University,Married,HIGH
114287,114746,115304,114966,113208,113504,31,Female,Graduate School,Single,HIGH
26342,27457,27381,17930,18128,18490,43,Female,University,Single,HIGH
15952,18780,19177,18574,19721,19254,35,Male,Graduate School,Married,LOW
1008,228,0,0,0,0,38,Female,Graduate School,Married,HIGH
48482,47226,11151,-2897,48211,48154,23,Female,Graduate School,Single,HIGH
26305,27307,13294,14069,14518,15025,49,Female,Others,Married,HIGH
29304,28534,29906,30524,28915,29524,25,Female,University,Married,LOW
36809,24248,18588,18958,19355,19788,36,Male,High School,Married,HIGH
422069,431342,479432,487066,471145,469961,63,Male,Graduate School,Married,HIGH
7697,18951,27974,30596,38109,22170,49,Female,High School,Single,HIGH
210612,206806,203803,167103,163528,162555,48,Female,University,Married,HIGH
50477,22472,20148,4708,5000,5028,39,Male,University,Single,HIGH
76915,78270,79693,20335,0,0,25,Male,University,Single,HIGH
3931,3625,1600,3815,8330,4765,36,Male,Graduate School,Married,LOW
8000,7919,4684,2992,7559,4967,48,Female,Graduate School,Married,HIGH
198724,200500,0,0,0,0,28,Male,University,Single,HIGH
31815,30672,33185,28600,29101,28939,24,Female,Graduate School,Single,HIGH
22226,18597,13801,8038,7340,-153,35,Male,University,Married,HIGH
390,390,390,390,390,23269,30,Male,Graduate School,Single,HIGH
508,672,226,390,220,320,41,Male,Graduate School,Married,HIGH
49112,48450,19790,50123,45987,46555,37,Male,Graduate School,Married,HIGH
7397,-18,-18,-18,-18,-18,29,Female,Graduate School,Single,HIGH
48694,46514,47771,43739,29090,24317,39,Female,High School,Married,HIGH
900,0,0,0,0,0,24,Female,University,Married,HIGH
26088,27160,26444,28694,27936,29930,35,Female,High School,Married,LOW
16762,19126,13918,8239,6376,10077,25,Female,Graduate School,Single,HIGH
675,0,0,0,0,0,38,Female,Graduate School,Single,HIGH
27030,23830,24943,27507,30767,29762,29,Female,University,Married,HIGH
10361,19566,8746,3355,7143,1288,24,Female,University,Married,HIGH
51086,49804,28662,29476,4011,1000,31,Male,University,Single,HIGH
29751,143701,138062,86738,43417,37398,27,Male,Graduate School,Single,HIGH
57287,12226,13962,14844,15716,131874,34,Female,University,Single,HIGH
2989,3731,3003,69127,33815,115854,33,Male,High School,Single,HIGH
106974,109061,7262,7410,1545,0,45,Female,University,Married,HIGH
26193,26977,27733,27982,27396,28341,43,Female,High School,Married,HIGH
25300,23150,20999,21423,19049,18282,22,Male,University,Single,HIGH
14480,33915,5198,13263,6817,4188,37,Male,University,Married,HIGH
132541,136186,139418,140962,137819,137094,34,Female,University,Married,HIGH
1261,1261,2136,1560,1170,780,22,Female,High School,Single,LOW
0,1290,0,0,1200,0,42,Female,Graduate School,Married,HIGH
190919,191785,164602,136569,139522,132239,30,Female,High School,Married,HIGH
27796,27069,27324,29561,28952,31307,25,Female,Graduate School,Single,LOW
94732,97284,99542,99898,99786,97670,39,Female,Graduate School,Married,LOW
1923,1995,0,0,0,0,35,Female,University,Single,HIGH
25747,25048,26060,26578,27133,27783,36,Female,Graduate School,Single,LOW
10906,9692,9162,10466,9426,8099,38,Female,University,Married,HIGH
7180,6922,7849,8018,8884,8593,25,Male,University,Single,LOW
222059,161817,160270,60604,60986,62195,42,Male,Graduate School,Married,LOW
134503,114682,124240,131006,137911,119343,33,Male,University,Single,HIGH
25546,28820,28538,28208,29326,29508,38,Female,High School,Single,LOW
3090,52125,26325,29638,35474,38190,37,Male,University,Single,HIGH
51303,74639,67306,19895,23650,12616,39,Female,High School,Married,HIGH
5830,6694,7855,8076,8297,9349,35,Female,University,Married,HIGH
61951,55504,22050,17360,17360,12000,44,Female,University,Married,HIGH
38726,39764,41084,41741,42461,43457,26,Female,High School,Single,HIGH
101106,96216,89964,29802,29174,26111,35,Female,High School,Single,HIGH
311,830,225,0,0,0,51,Female,Graduate School,Married,HIGH
207205,208827,203696,201655,202938,202136,37,Female,University,Married,HIGH
16332,18111,18325,18391,14235,18955,23,Male,University,Single,LOW
47649,49100,50380,19144,17625,17246,49,Female,University,Married,HIGH
6480,6973,7235,8248,8412,8589,30,Female,University,Married,HIGH
45504,46223,12761,7477,8372,9240,34,Female,University,Single,HIGH
47121,49332,47590,50000,780,0,26,Female,University,Married,HIGH
15299,44439,22637,101497,68960,28399,33,Male,University,Married,HIGH
85119,86901,89583,90432,92332,94197,44,Male,University,Single,LOW
246,123,5436,1229,93787,95816,46,Female,High School,Married,HIGH
-9,-9,986,0,0,900,31,Female,Graduate School,Single,HIGH
56839,58039,58792,59620,60819,62069,54,Male,University,Married,LOW
295543,299922,307166,311716,306830,303453,30,Female,University,Married,HIGH
3690,15618,4685,238,218,6690,43,Male,High School,Married,HIGH
3240,0,0,0,0,0,36,Female,Graduate School,Married,HIGH
96225,99606,100704,208794,213025,217400,40,Female,University,Married,HIGH
84342,89446,38580,39359,42021,43324,27,Male,University,Single,HIGH
3884,949,2864,933,0,0,44,Female,Graduate School,Married,HIGH
91170,55588,14037,20356,90159,79053,39,Female,University,Married,HIGH
78335,61234,55446,47208,32019,22318,27,Female,Graduate School,Single,HIGH
2783,131860,130000,0,0,0,26,Female,University,Married,HIGH
101329,103532,100485,101552,100752,100652,33,Male,Graduate School,Single,LOW
70422,67991,56909,56841,51245,42268,29,Female,University,Married,HIGH
77408,74156,75659,72046,70355,71208,52,Male,High School,Single,HIGH
304964,312224,315822,275393,278745,244543,39,Female,Graduate School,Married,HIGH
17895,19598,19701,3486,199,0,24,Male,High School,Single,HIGH
0,0,0,873,873,0,39,Female,High School,Married,HIGH
68766,70772,71622,68443,72210,70267,59,Female,High School,Married,LOW
75149,76786,72626,29012,28653,28398,32,Male,University,Married,HIGH
0,0,0,0,0,0,29,Female,University,Single,HIGH
853,3128,4719,100,1610,690,23,Female,Graduate School,Single,HIGH
26664,29803,30766,29918,29071,29527,38,Female,University,Married,HIGH
11618,12641,13953,13924,14399,14610,42,Female,University,Married,HIGH
48065,48968,47368,9515,9483,9292,54,Female,High School,Single,HIGH
6128,7171,9582,9282,9977,10812,24,Male,University,Single,HIGH
23819,23144,28066,27321,27571,29300,52,Male,High School,Others,LOW
103956,103230,105945,111065,122028,125069,33,Male,University,Single,HIGH
730,4426,820,0,2653,0,48,Male,University,Married,LOW
6146,945,5497,4162,1724,1569,43,Male,University,Married,HIGH
104395,101736,106101,54707,54924,52141,31,Male,Graduate School,Single,HIGH
43724,45017,46106,28381,29546,29573,39,Female,University,Married,HIGH
76752,77528,68966,63972,50072,51239,54,Female,High School,Married,HIGH
-363,204,204,204,-14,-2400,31,Female,High School,Single,HIGH
1199,15586,344,2340,6702,339,29,Male,Graduate School,Single,HIGH
273535,280598,141996,131471,134963,139471,43,Female,University,Single,HIGH
42820,44156,44864,45768,48204,49453,40,Female,University,Married,HIGH
167544,168609,172591,145144,141134,127242,38,Male,University,Single,HIGH
63143,59608,59182,27882,24574,22330,23,Female,University,Married,HIGH
64561,47041,25439,26140,28833,28459,27,Female,University,Single,HIGH
8944,9882,9538,9808,8650,0,27,Female,University,Single,LOW
170971,165806,146001,113907,115578,111863,24,Female,University,Single,HIGH
218495,223270,227807,218047,223370,206937,30,Female,University,Married,HIGH
129371,131025,39505,40894,39229,40679,32,Female,Graduate School,Married,HIGH
2593,0,0,0,1849,12837,35,Female,University,Single,HIGH
23467,24195,25286,25807,26350,27409,33,Male,University,Married,HIGH
29836,30856,30658,31850,31207,32037,28,Female,University,Married,LOW
7486,7826,9574,12101,17128,13395,27,Female,University,Single,HIGH
47796,49045,45506,41471,18298,19001,24,Male,Graduate School,Single,HIGH
178911,182510,186450,190523,194405,182630,30,Male,Graduate School,Single,HIGH
0,0,0,0,0,1031,42,Female,Graduate School,Married,HIGH
147530,150313,146464,144227,133638,136605,27,Male,University,Single,HIGH
1068,1168,1005,1372,1610,1355,64,Male,High School,Single,HIGH
7357,8270,9301,10440,11193,10575,55,Male,University,Single,HIGH
-18,-18,-18,-18,-18,-18,37,Female,Graduate School,Single,LOW
50940,48429,23091,10202,10476,10161,34,Male,University,Single,HIGH
14421,8392,13025,2816,6856,11069,36,Female,Graduate School,Married,HIGH
13784,13277,13984,14350,14650,15156,46,Male,High School,Single,LOW
38909,14512,0,0,0,0,47,Female,High School,Married,HIGH
0,1825,1346,587,338,1239,25,Male,Graduate School,Single,HIGH
132749,134235,128079,64598,12014,710,39,Female,University,Single,HIGH
250825,167091,144804,67729,66077,60074,50,Female,High School,Married,HIGH
0,0,0,19980,173,0,35,Male,University,Single,LOW
23424,24222,24077,23241,24600,16344,48,Male,University,Married,HIGH
0,0,0,0,0,0,67,Male,Graduate School,Married,LOW
324,826,326,326,326,476,34,Male,Graduate School,Single,HIGH
101316,104930,106053,108641,48519,33448,41,Female,High School,Married,HIGH
64927,58840,42859,0,0,2254,24,Female,University,Single,HIGH
83831,85586,87289,91451,93381,89522,32,Male,Graduate School,Single,HIGH
1050,1050,1050,1050,1050,1050,25,Male,University,Single,LOW
52121,53235,52015,38985,36097,36995,38,Male,University,Married,HIGH
2400,2400,2400,2400,2400,2400,31,Female,Graduate School,Single,LOW
0,0,0,0,0,19553,23,Male,Graduate School,Single,HIGH
16484,17709,17141,20730,20116,19512,42,Female,University,Married,LOW
-1750,76674,77974,80064,81747,86611,41,Male,University,Married,HIGH
4770,5983,9018,7380,7042,2583,27,Male,Graduate School,Single,HIGH
25484,26726,27810,172,0,0,25,Female,Graduate School,Single,HIGH
153994,147038,122498,75782,71306,69737,39,Female,High School,Married,HIGH
43583,50028,48928,49812,50855,52354,39,Female,Graduate School,Married,HIGH
60261,60129,57488,47846,48464,48940,48,Female,University,Single,HIGH
390,390,390,240,1320,780,42,Male,High School,Married,HIGH
9388,10387,10624,11539,11771,9075,31,Female,High School,Married,HIGH
0,0,945,0,197,2995,26,Female,Graduate School,Single,HIGH
2912,2668,3222,21755,15258,16002,30,Female,Graduate School,Single,HIGH
1060,3229,4107,5931,4665,6607,30,Male,Graduate School,Single,HIGH
1399,2441,3865,7476,8384,8085,24,Male,University,Single,HIGH
1413,-60,550,390,0,780,23,Female,Graduate School,Single,HIGH
50721,25967,25949,25619,4456,2714,38,Female,University,Married,HIGH
2028,286,14255,10056,317,728,37,Female,Graduate School,Married,HIGH
20217,8376,7139,4254,4855,5355,28,Female,Graduate School,Single,HIGH
819,18163,5473,8162,6985,9130,41,Female,University,Married,HIGH
107649,82139,74760,63520,62529,58228,28,Female,Graduate School,Single,HIGH
63820,60697,61139,56609,47819,43471,31,Female,Graduate School,Married,HIGH
19597,35869,9066,309,3019,16496,36,Male,University,Single,HIGH
376014,377594,355120,315740,322540,319195,38,Male,University,Married,LOW
300,300,300,300,300,300,26,Female,Graduate School,Single,LOW
0,0,0,0,0,0,31,Female,University,Single,HIGH
51395,51803,52888,54570,55368,56623,49,Male,University,Married,HIGH
250180,141206,64277,32727,13004,0,41,Female,Graduate School,Married,HIGH
30680,126866,129449,106382,98892,92599,41,Female,Graduate School,Married,HIGH
40506,41742,43157,14510,14963,16580,35,Female,University,Married,HIGH
43439,44512,47677,46615,47537,48616,50,Female,University,Married,HIGH
4529,4269,1170,780,780,0,28,Female,Graduate School,Married,LOW
23579,24613,25617,25434,25966,26486,25,Female,University,Single,HIGH
497106,497921,490093,435019,329476,338557,29,Female,Graduate School,Single,LOW
62946,61940,61412,62771,65038,67266,25,Male,University,Single,HIGH
0,0,0,0,0,0,39,Male,Graduate School,Married,LOW
49546,48480,48621,17793,18224,18612,70,Female,Graduate School,Single,HIGH
49402,50361,48762,49671,22895,19501,49,Female,High School,Others,HIGH
8628,8350,8076,7798,8110,10194,22,Female,University,Single,LOW
45251,42685,45674,44639,47624,48592,40,Female,Graduate School,Married,LOW
1392,0,696,1076,316,696,41,Male,Graduate School,Single,LOW
46736,75853,79570,106523,108614,107519,31,Female,University,Married,LOW
0,0,0,0,0,0,37,Male,Graduate School,Married,HIGH
207,4090,5848,6849,9331,12687,46,Female,University,Married,HIGH
86787,89610,86738,75859,74108,75898,28,Female,University,Single,HIGH
134783,142708,143475,136331,135778,135910,36,Female,University,Single,HIGH
76831,72100,66575,68499,69584,71247,24,Female,Graduate School,Single,HIGH
179893,183466,187397,187999,191388,40940,25,Female,Graduate School,Single,HIGH
0,0,0,0,0,0,30,Female,University,Married,HIGH
40760,39660,23203,18983,13466,18878,23,Female,University,Single,HIGH
0,732,873,148,129,292,37,Female,Graduate School,Married,LOW
7866,8788,8498,9155,8864,9215,41,Male,Graduate School,Married,LOW
50482,50267,44880,45122,49518,50389,35,Male,Graduate School,Married,HIGH
151222,135038,108924,109710,116813,118984,40,Male,Graduate School,Married,HIGH
13565,8130,-332,-732,-1782,-2250,32,Male,Graduate School,Single,HIGH
454,14213,10621,3913,1707,15087,28,Female,University,Married,HIGH
104451,105960,100542,103087,103983,105638,28,Male,University,Single,HIGH
4000,6028,6028,3996,9062,3997,29,Female,University,Single,HIGH
199,598,400,199,1117,922,34,Female,Graduate School,Married,HIGH
14073,13034,2569,36116,36287,5695,29,Female,University,Single,HIGH
2500,2500,2500,2500,2500,2500,62,Female,Graduate School,Single,LOW
0,0,0,0,0,0,34,Female,High School,Single,HIGH
57222,160712,210445,74138,1808,95818,26,Female,University,Single,HIGH
1919,1831,163,1028,0,0,34,Female,University,Single,HIGH
2782,2975,2230,1390,4040,3080,42,Male,University,Single,HIGH
16089,17127,19108,18503,20100,19629,23,Female,University,Single,LOW
9146,10906,4614,28790,4418,10676,41,Male,Graduate School,Married,HIGH
0,0,0,0,0,0,33,Female,Graduate School,Married,HIGH
28522,29906,34057,34611,38359,37592,37,Female,University,Married,HIGH
17723,497,1100,652,326,5654,37,Male,Graduate School,Single,LOW
326,326,326,5676,476,326,28,Male,Graduate School,Single,HIGH
1081,148,148,296,148,148,39,Female,University,Married,HIGH
133272,133373,138006,136195,140860,138787,34,Male,University,Married,HIGH
72656,38054,39410,38288,39276,36885,27,Female,Graduate School,Single,LOW
2020,0,0,0,0,0,61,Female,High School,Married,HIGH
59247,60200,60360,61168,57287,62208,28,Male,University,Single,HIGH
65460,65721,45492,45482,46371,47603,32,Male,High School,Single,LOW
714,-68,-68,-68,4132,-2,33,Male,Graduate School,Single,HIGH
15706,15757,15436,16331,10229,10250,22,Female,University,Single,LOW
67273,47110,39017,0,6835,5562,29,Male,University,Single,HIGH
155913,165227,161427,164860,187329,186079,32,Male,University,Single,HIGH
8247,16463,7090,10000,18438,17068,41,Female,University,Others,HIGH
30400,34756,29530,27620,32364,34041,53,Female,Graduate School,Single,HIGH
71661,69947,74755,75732,74397,80138,26,Male,High School,Single,HIGH
57097,58134,58647,59619,57068,57668,23,Female,University,Single,LOW
1905,3640,162,0,151,2530,45,Female,Graduate School,Married,HIGH
24402,26872,28430,29160,31187,30537,32,Female,University,Married,HIGH
2860,16021,0,0,0,0,36,Male,Others,Single,HIGH
390,390,780,780,0,0,24,Male,University,Single,LOW
190691,206000,194930,130938,134664,140238,36,Female,Graduate School,Married,HIGH
77720,79417,81326,81650,83354,85163,38,Female,Graduate School,Single,HIGH
16203,4550,0,0,0,0,27,Male,University,Married,HIGH
57376,58649,59873,61077,62394,63655,27,Female,University,Single,HIGH
780,390,390,780,0,0,23,Male,Graduate School,Single,LOW
3829,4360,4420,18311,2887,4768,32,Female,Graduate School,Married,HIGH
3281,4325,5341,5751,6500,7386,22,Male,Graduate School,Single,HIGH
196931,138247,96888,16476,12534,394163,27,Female,University,Single,HIGH
49487,48282,39490,27835,23391,24507,41,Female,University,Single,LOW
10489,8652,7143,6044,780,116,27,Female,University,Married,LOW
0,0,0,0,0,0,30,Female,Graduate School,Married,LOW
1156,316,1156,736,316,1156,38,Female,University,Married,HIGH
10889,26146,104279,103945,101945,90193,42,Female,High School,Single,HIGH
29478,32342,31523,32989,33679,34350,39,Male,University,Single,HIGH
